event_time_utc,capture_utc,message_type,mmsi,ship_name,imo,call_sign,latitude,longitude,sog_knots,speed_category,is_moving,cog_degrees,true_heading,navigational_status,nav_status_name,destination,eta,vessel_type,vessel_type_name,vessel_category,port_guess,source,data_type,granularity,year,month,day,hour
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StaticDataReport,525100095,MEGAMAS SWEET,,,1.26393,103.8323,,Unknown,False,,,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,636013118,YM INSTRUCTION,,,1.21927,103.81743,1.8,Slow / manoeuvring,True,240.5,270.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,566753000,HAI SOON 33,,,1.20711,103.85619,7.9,Transit,True,64.6,52.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,538011746,BLUE GRETHA,,,1.22248,103.90738,5.0,Transit,True,248.1,247.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563074570,VISION 225,,,1.2629,103.82865,0.0,Stationary,False,228.6,511.0,15.0,Not defined,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563082690,ARUNDINA,,,1.3028,103.99783,0.0,Stationary,False,208.3,274.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,636024881,BOUBOULINA,9298753.0,5LUT2,1.26507,103.90308,,Unknown,False,,,,Not reported,"SG PEBG""B""","{'Day': 4, 'Hour': 6, 'Minute': 0, 'Month': 4}",80.0,Tanker,Tanker,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,613003614,NOCTIS,,,1.26079,103.90903,0.0,Stationary,False,342.6,248.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,563322300,TOP HONOR,1108500.0,9VMP6,1.27456,103.89744,,Unknown,False,,,,Not reported,SG_PEBGA,"{'Day': 2, 'Hour': 6, 'Minute': 0, 'Month': 4}",70.0,Cargo vessel,Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563227800,SYUKUR,,,1.25837,103.82303,0.0,Stationary,False,360.0,511.0,2.0,Not under command,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,209920000,CMA CGM NABUCCO,9299630.0,5BLX5,1.2566,103.78243,,Unknown,False,,,,Not reported,SGSIN,"{'Day': 4, 'Hour': 5, 'Minute': 45, 'Month': 4}",73.0,Cargo vessel (hazmat C),Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,563856000,JUMA,9767912.0,9V3733,1.20032,103.73939,,Unknown,False,,,,Not reported,ARP,"{'Day': 5, 'Hour': 3, 'Minute': 45, 'Month': 4}",80.0,Tanker,Tanker,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,477131900,,,,1.15883,103.47188,13.6,Cruising,True,120.7,120.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,374890000,EAGLE ASIA 10,,,1.19514,103.68197,0.0,Stationary,False,129.1,225.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,677034400,GOLDEN STAR 1,,,1.2651,103.84203,0.0,Stationary,False,218.3,511.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,AddressedBinaryMessage,5631137,,,,1.22564,103.77848,,Unknown,False,,,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StandardClassBPositionReport,563069180,REGENT BRAVO,,,1.25583,103.87181,0.0,Stationary,False,9.8,511.0,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563070940,MPA 4,,,1.22349,103.85213,0.0,Stationary,False,360.0,344.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563265000,KOTA LESTARI,,,1.10856,103.74018,12.4,Cruising,True,35.0,37.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565602000,PILOT GP49,,,1.2573,103.8417,0.3,Slow / manoeuvring,False,212.5,43.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,413347470,DING HENG 25,,,1.23828,103.79604,0.0,Stationary,False,46.9,307.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563069230,PSA OAK WW60,,,1.28114,103.76635,1.5,Slow / manoeuvring,True,120.7,128.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565615000,NAWATA BHUM,,,1.25846,103.77945,0.0,Stationary,False,295.3,121.0,5.0,Moored,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563010320,OIGAWA,,,1.18543,103.80662,7.2,Transit,True,245.0,251.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563009290,SD EMERALD,,,1.25405,103.87077,0.0,Stationary,False,360.0,511.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,StandardClassBPositionReport,533133686,ISLAND B,,,1.26556,103.81169,0.0,Stationary,False,360.0,511.0,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565893000,KOTA NAGA,,,1.21899,103.89422,6.3,Transit,True,335.5,320.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,563127800,ES JEWEL,9507166.0,9V5391,1.24744,103.81001,,Unknown,False,,,,Not reported,SG AWW,"{'Day': 29, 'Hour': 9, 'Minute': 0, 'Month': 3}",80.0,Tanker,Tanker,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,205083000,BOKA TIAMAT,9792527.0,ORUE,1.27621,103.88362,,Unknown,False,,,,Not reported,AEW,"{'Day': 31, 'Hour': 17, 'Minute': 30, 'Month': 3}",79.0,Cargo vessel (other),Cargo,Singapore,aisstream,vessel_movement,event,2026,4,4,21
