date,bdi_value,bdi_open,bdi_high,bdi_low,bdi_volume,bdi_change_pct,daily_change_pct,rolling_7d_avg,rolling_30d_avg,rolling_90d_avg,above_long_avg,is_spike,is_drop,is_outlier,year,month,quarter,weekday,source,data_type,granularity
2015-01-02,771.0,771.0,771.0,771.0,0.0,-1.41,,771.0,771.0,771.0,False,False,False,False,2015,1,1,Friday,investing_bdi_csv,freight_index,daily
2015-01-05,761.0,761.0,761.0,761.0,0.0,-1.3,-1.297,766.0,766.0,766.0,False,False,False,False,2015,1,1,Monday,investing_bdi_csv,freight_index,daily
2015-01-06,758.0,758.0,758.0,758.0,0.0,-0.39,-0.3942,763.33,763.33,763.33,False,False,False,False,2015,1,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-01-07,744.0,744.0,744.0,744.0,0.0,-1.85,-1.847,758.5,758.5,758.5,False,False,False,False,2015,1,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-01-08,724.0,724.0,724.0,724.0,0.0,-2.69,-2.6882,751.6,751.6,751.6,False,False,False,False,2015,1,1,Thursday,investing_bdi_csv,freight_index,daily
2015-01-09,709.0,709.0,709.0,709.0,0.0,-2.07,-2.0718,744.5,744.5,744.5,False,False,False,False,2015,1,1,Friday,investing_bdi_csv,freight_index,daily
2015-01-12,723.0,723.0,723.0,723.0,0.0,1.97,1.9746,741.43,741.43,741.43,False,False,False,False,2015,1,1,Monday,investing_bdi_csv,freight_index,daily
2015-01-13,762.0,762.0,762.0,762.0,0.0,5.39,5.3942,740.14,744.0,744.0,False,True,False,False,2015,1,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-01-14,757.0,757.0,757.0,757.0,0.0,-0.66,-0.6562,739.57,745.44,745.44,False,False,False,False,2015,1,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-01-15,749.0,749.0,749.0,749.0,0.0,-1.06,-1.0568,738.29,745.8,745.8,False,False,False,False,2015,1,1,Thursday,investing_bdi_csv,freight_index,daily
2015-01-16,741.0,741.0,741.0,741.0,0.0,-1.07,-1.0681,737.86,745.36,745.36,False,False,False,False,2015,1,1,Friday,investing_bdi_csv,freight_index,daily
